index,size_mb,bandwidth_gbps
0,0.06,3.61
1,0.12,5.74
2,0.25,11.64
3,0.5,11.22
4,1.0,12.21
5,2.0,12.34
6,4.0,12.67
7,8.0,11.43
8,16.0,11.28
9,32.0,12.56
10,64.0,11.98
11,128.0,11.45
12,256.0,10.54
13,512.0,11.74
14,1024.0,10.83
