size_bytes,latency_us
1048576,42.27
2097152,49.28
4194304,58.89
8388608,86.76
16777216,129.18
33554432,225.29
67108864,395.18
134217728,754.91
268435456,1440.64
536870912,2803.06
1073741824,5393.21
