size_bytes,bandwidth_gbs
1048576,24.81
2097152,42.56
4194304,71.22
8388608,96.69
16777216,129.87
33554432,148.94
67108864,169.82
134217728,177.79
268435456,186.33
536870912,191.53
1073741824,199.09
