index,size_mb,bandwidth_gbps
0,0.06,18.25
1,0.12,37.08
2,0.25,59.72
3,0.5,92.69
4,1.0,124.69
5,2.0,370.47
6,4.0,544.96
7,8.0,708.94
8,16.0,825.67
9,32.0,212.05
10,64.0,210.04
11,128.0,210.49
12,256.0,209.3
13,512.0,206.03
14,1024.0,209.77
