index,data_set,exec_time,spread,eff_bw
0,1 kB,49ms,5.4%,7535.8
1,2 kB,45ms,3.8%,8368.3
2,4 kB,45ms,5.9%,8254.1
4,4 kB,44ms,4.8%,8392.7
3,6 kB,44ms,1.2%,8359.9
5,8 kB,44ms,4.2%,8404.5
6,12 kB,44ms,1.3%,8380.2
7,16 kB,44ms,1.7%,8381.8
8,20 kB,46ms,8.9%,8377.1
9,24 kB,45ms,9.3%,8378.8
10,28 kB,45ms,4.6%,8207.6
11,32 kB,47ms,17.0%,8270.9
12,36 kB,46ms,8.2%,8404.1
13,40 kB,45ms,3.6%,8313.7
14,44 kB,45ms,2.5%,8285.0
15,48 kB,45ms,17.2%,8371.1
16,52 kB,46ms,6.8%,8321.1
17,56 kB,46ms,9.1%,8342.3
18,60 kB,44ms,12.8%,8404.4
19,64 kB,44ms,1.9%,8402.8
