index,data_set,exec_time,spread,eff_bw
0,1 kB,50ms,4.4%,7572.1
1,2 kB,44ms,1.1%,8423.0
2,4 kB,44ms,1.6%,8422.1
4,4 kB,44ms,1.3%,8421.2
3,6 kB,44ms,1.6%,8391.9
5,8 kB,44ms,1.3%,8427.3
6,12 kB,44ms,1.3%,8432.7
7,16 kB,44ms,1.1%,8436.3
8,20 kB,44ms,1.8%,8436.3
9,24 kB,44ms,0.4%,8412.0
10,28 kB,44ms,1.3%,8436.5
11,32 kB,44ms,1.4%,8358.4
12,36 kB,44ms,1.7%,8431.7
13,40 kB,44ms,1.0%,8436.5
14,44 kB,44ms,1.7%,8436.7
15,48 kB,44ms,1.4%,8436.5
16,52 kB,44ms,0.8%,8435.1
17,56 kB,44ms,0.6%,8410.8
18,60 kB,44ms,1.5%,8435.6
19,64 kB,44ms,1.2%,8423.5
