index,size_mb,bandwidth_gbps
0,0.06,8.4
1,0.12,10.61
2,0.25,11.98
3,0.5,12.35
4,1.0,12.59
5,2.0,12.91
6,4.0,12.67
7,8.0,12.72
8,16.0,12.06
9,32.0,12.88
10,64.0,12.33
11,128.0,12.12
12,256.0,10.72
13,512.0,11.68
14,1024.0,13.15
