index,size_mb,bandwidth_gbps
0,0.06,4.59
1,0.12,6.53
2,0.25,9.14
3,0.5,7.68
4,1.0,9.76
5,2.0,9.29
6,4.0,8.05
7,8.0,9.18
8,16.0,9.94
9,32.0,9.85
10,64.0,10.63
11,128.0,11.61
12,256.0,7.34
13,512.0,7.56
14,1024.0,8.14
