index,size_mb,bandwidth_gbps
0,0.06,7.81
1,0.12,10.01
2,0.25,11.44
3,0.5,12.48
4,1.0,13.19
5,2.0,12.72
6,4.0,12.98
7,8.0,13.11
8,16.0,13.5
9,32.0,13.5
10,64.0,13.5
11,128.0,13.62
12,256.0,12.13
13,512.0,12.54
14,1024.0,11.0
