index,size_mb,bandwidth_gbps
0,0.06,6.45
1,0.12,8.36
2,0.25,9.55
3,0.5,10.76
4,1.0,9.35
5,2.0,10.44
6,4.0,8.49
7,8.0,11.54
8,16.0,11.04
9,32.0,10.44
10,64.0,11.29
11,128.0,10.23
12,256.0,7.04
13,512.0,9.29
14,1024.0,9.39
