index,data_set,exec_time,spread,eff_bw
0,1 kB,50ms,5.4%,7522.2
1,2 kB,44ms,2.2%,8413.4
2,4 kB,44ms,3.0%,8371.6
4,4 kB,44ms,2.6%,8344.6
3,6 kB,45ms,5.0%,8358.0
5,8 kB,44ms,1.7%,8347.1
6,12 kB,44ms,3.2%,8404.1
7,16 kB,44ms,3.1%,8377.3
8,20 kB,44ms,2.0%,8382.8
9,24 kB,44ms,3.1%,8392.9
10,28 kB,44ms,2.5%,8382.9
11,32 kB,45ms,3.0%,8356.2
12,36 kB,44ms,3.2%,8379.8
13,40 kB,44ms,2.3%,8383.0
14,44 kB,44ms,2.8%,8383.2
15,48 kB,44ms,3.5%,8436.8
16,52 kB,45ms,2.7%,8332.5
17,56 kB,44ms,2.7%,8334.6
18,60 kB,44ms,2.8%,8375.1
19,64 kB,44ms,1.7%,8362.5
