index,data_set,exec_data,exec_time,spread,eff_bw
0,512 kB,1536 kB,61ms,1.1%,1724.3
1,512 kB,2048 kB,60ms,1.6%,1751.1
2,512 kB,2560 kB,61ms,5.1%,1739.2
3,512 kB,3072 kB,60ms,1.2%,1746.3
4,512 kB,3584 kB,61ms,1.2%,1736.1
5,512 kB,4096 kB,62ms,3.1%,1738.4
6,512 kB,4608 kB,60ms,1.1%,1754.8
7,512 kB,5120 kB,60ms,1.4%,1755.4
8,512 kB,5632 kB,60ms,1.1%,1748.5
9,512 kB,6144 kB,60ms,1.5%,1748.7
10,512 kB,6656 kB,60ms,1.1%,1747.8
11,512 kB,7168 kB,61ms,2.1%,1737.9
12,512 kB,7680 kB,60ms,1.0%,1746.4
13,512 kB,8192 kB,61ms,1.7%,1741.0
14,512 kB,8704 kB,60ms,0.9%,1744.0
15,512 kB,9216 kB,60ms,1.2%,1741.3
16,512 kB,9728 kB,60ms,0.9%,1752.4
17,512 kB,10240 kB,61ms,0.9%,1728.8
18,512 kB,11264 kB,60ms,1.6%,1747.8
19,512 kB,12288 kB,60ms,0.2%,1746.0
20,512 kB,13312 kB,61ms,1.2%,1736.4
21,512 kB,14336 kB,61ms,1.1%,1740.1
22,512 kB,15360 kB,60ms,1.1%,1745.1
23,512 kB,16896 kB,60ms,1.5%,1753.6
24,512 kB,18432 kB,60ms,1.0%,1741.3
25,512 kB,19968 kB,60ms,1.2%,1751.5
26,512 kB,21504 kB,60ms,1.6%,1748.9
27,512 kB,23552 kB,60ms,1.0%,1740.9
28,512 kB,25600 kB,60ms,1.5%,1746.1
29,512 kB,28160 kB,60ms,1.2%,1752.1
30,512 kB,30720 kB,60ms,2.9%,1747.2
31,512 kB,33792 kB,61ms,2.7%,1744.8
32,512 kB,36864 kB,60ms,1.9%,1741.4
33,512 kB,40448 kB,167ms,1.9%,631.2
34,512 kB,44032 kB,208ms,0.6%,504.5
35,512 kB,48128 kB,220ms,0.4%,478.1
36,512 kB,52736 kB,220ms,0.6%,477.3
37,512 kB,57856 kB,220ms,0.9%,477.0
38,512 kB,63488 kB,220ms,0.4%,477.1
39,512 kB,69632 kB,220ms,0.4%,477.1
40,512 kB,76288 kB,220ms,0.5%,477.0
41,512 kB,83456 kB,220ms,0.7%,477.0
42,512 kB,91648 kB,220ms,0.4%,477.0
43,512 kB,100352 kB,220ms,0.5%,477.0
44,512 kB,110080 kB,220ms,0.4%,477.0
45,512 kB,120832 kB,220ms,1.1%,477.0
46,512 kB,132608 kB,220ms,0.4%,477.1
47,512 kB,145408 kB,220ms,0.4%,477.0
48,512 kB,159744 kB,220ms,0.5%,477.0
49,512 kB,175616 kB,220ms,0.9%,477.0
50,512 kB,193024 kB,220ms,0.4%,477.0
51,512 kB,211968 kB,220ms,0.4%,477.0
52,512 kB,232960 kB,220ms,0.4%,477.0
53,512 kB,256000 kB,221ms,1.1%,477.0
54,512 kB,281600 kB,220ms,1.6%,477.0
55,512 kB,309760 kB,220ms,0.4%,477.0
56,512 kB,340480 kB,220ms,0.4%,477.0
57,512 kB,374272 kB,220ms,0.9%,477.0
58,512 kB,411648 kB,220ms,0.4%,477.0
59,512 kB,452608 kB,220ms,0.5%,477.0
60,512 kB,497664 kB,220ms,0.4%,477.0
61,512 kB,547328 kB,220ms,0.9%,477.0
62,512 kB,601600 kB,220ms,0.6%,477.0
63,512 kB,661504 kB,220ms,0.4%,477.0
64,512 kB,727552 kB,220ms,2.0%,477.1
65,512 kB,800256 kB,220ms,0.3%,477.1
66,512 kB,880128 kB,220ms,0.4%,477.0
67,512 kB,967680 kB,220ms,0.4%,477.0
68,512 kB,1064448 kB,220ms,1.0%,477.0
69,512 kB,1170432 kB,220ms,0.4%,477.0
70,512 kB,1287168 kB,220ms,0.4%,477.0
71,512 kB,1415680 kB,220ms,1.4%,477.1
72,512 kB,1556992 kB,220ms,0.4%,477.0
73,512 kB,1712640 kB,220ms,0.4%,477.1
74,512 kB,1883648 kB,220ms,0.8%,477.0
75,512 kB,2071552 kB,220ms,0.4%,477.1
76,512 kB,2278400 kB,220ms,0.9%,477.0
77,512 kB,2506240 kB,220ms,0.4%,477.0
78,512 kB,2756608 kB,220ms,0.4%,477.0
79,512 kB,3032064 kB,220ms,1.1%,477.0
80,512 kB,3335168 kB,220ms,0.3%,477.0
81,512 kB,3668480 kB,220ms,0.8%,477.0
82,512 kB,4035072 kB,220ms,0.3%,477.0
83,512 kB,4438528 kB,220ms,1.0%,477.0
84,512 kB,4881920 kB,220ms,0.3%,477.0
