index,size_mb,bandwidth_gbps
0,0.06,8.46
1,0.12,9.91
2,0.25,11.28
3,0.5,12.1
4,1.0,12.68
5,2.0,12.8
6,4.0,11.64
7,8.0,12.81
8,16.0,12.45
9,32.0,12.44
10,64.0,12.25
11,128.0,12.12
12,256.0,12.31
13,512.0,12.37
14,1024.0,11.64
