index,size_mb,bandwidth_gbps
0,0.06,7.75
1,0.12,9.82
2,0.25,10.78
3,0.5,11.81
4,1.0,12.09
5,2.0,12.12
6,4.0,10.24
7,8.0,11.42
8,16.0,12.25
9,32.0,11.93
10,64.0,10.4
11,128.0,11.63
12,256.0,11.0
13,512.0,9.28
14,1024.0,9.97
