index,size_mb,bandwidth_gbps
0,0.06,5.72
1,0.12,7.57
2,0.25,5.53
3,0.5,5.97
4,1.0,9.02
5,2.0,8.93
6,4.0,8.95
7,8.0,11.49
8,16.0,11.73
9,32.0,11.33
10,64.0,12.53
11,128.0,11.09
12,256.0,8.54
13,512.0,11.04
14,1024.0,11.96
