index,size_mb,bandwidth_gbps
0,0.06,7.34
1,0.12,9.71
2,0.25,10.96
3,0.5,12.24
4,1.0,12.96
5,2.0,13.19
6,4.0,13.05
7,8.0,13.02
8,16.0,13.03
9,32.0,12.62
10,64.0,10.67
11,128.0,10.46
12,256.0,11.62
13,512.0,10.87
14,1024.0,11.92
