index,size_mb,bandwidth_gbps
0,0.06,6.37
1,0.12,9.96
2,0.25,10.61
3,0.5,9.74
4,1.0,9.63
5,2.0,9.39
6,4.0,10.22
7,8.0,11.31
8,16.0,11.28
9,32.0,13.28
10,64.0,14.33
11,128.0,16.94
12,256.0,14.35
13,512.0,12.97
14,1024.0,12.62
