index,size_mb,bandwidth_gbps
0,0.06,7.08
1,0.12,9.69
2,0.25,11.48
3,0.5,9.86
4,1.0,10.93
5,2.0,12.48
6,4.0,12.84
7,8.0,13.43
8,16.0,13.21
9,32.0,12.37
10,64.0,12.85
11,128.0,13.2
12,256.0,13.06
13,512.0,11.71
14,1024.0,12.04
