index,size_mb,bandwidth_gbps
0,0.06,8.23
1,0.12,10.29
2,0.25,11.79
3,0.5,12.13
4,1.0,12.33
5,2.0,9.64
6,4.0,10.98
7,8.0,12.29
8,16.0,11.95
9,32.0,8.52
10,64.0,9.36
11,128.0,8.32
12,256.0,8.31
13,512.0,11.54
14,1024.0,11.05
