index,size_mb,bandwidth_gbps
0,0.06,2.01
1,0.12,3.46
2,0.25,6.61
3,0.5,11.26
4,1.0,12.31
5,2.0,12.87
6,4.0,13.36
7,8.0,13.5
8,16.0,13.67
9,32.0,12.94
10,64.0,13.41
11,128.0,11.34
12,256.0,9.52
13,512.0,12.04
14,1024.0,12.7
