index,size_mb,bandwidth_gbps
0,0.06,6.84
1,0.12,10.48
2,0.25,11.58
3,0.5,11.67
4,1.0,7.51
5,2.0,11.61
6,4.0,11.4
7,8.0,11.09
8,16.0,8.81
9,32.0,12.17
10,64.0,10.19
11,128.0,9.35
12,256.0,9.3
13,512.0,9.88
14,1024.0,9.76
