index,size_mb,bandwidth_gbps
0,0.06,7.52
1,0.12,38.44
2,0.25,73.1
3,0.5,123.93
4,1.0,242.93
5,2.0,376.76
6,4.0,547.4
7,8.0,706.89
8,16.0,843.32
9,32.0,208.13
10,64.0,208.62
11,128.0,211.88
12,256.0,211.09
13,512.0,209.85
14,1024.0,209.47
