index,data_set,exec_data,exec_time,spread,eff_bw
0,512 kB,1536 kB,63ms,6.4%,1694.0
1,512 kB,2048 kB,65ms,8.1%,1638.5
2,512 kB,2560 kB,65ms,6.7%,1681.0
3,512 kB,3072 kB,62ms,5.3%,1727.0
4,512 kB,3584 kB,63ms,4.8%,1706.8
5,512 kB,4096 kB,63ms,6.3%,1698.5
6,512 kB,4608 kB,62ms,4.6%,1739.5
7,512 kB,5120 kB,62ms,4.5%,1715.6
8,512 kB,5632 kB,61ms,4.3%,1731.0
9,512 kB,6144 kB,61ms,3.5%,1728.3
10,512 kB,6656 kB,61ms,2.6%,1727.7
11,512 kB,7168 kB,62ms,1.8%,1699.0
12,512 kB,7680 kB,61ms,1.8%,1736.2
13,512 kB,8192 kB,62ms,3.2%,1713.0
14,512 kB,8704 kB,61ms,2.7%,1734.5
15,512 kB,9216 kB,62ms,8.6%,1719.7
16,512 kB,9728 kB,61ms,4.1%,1736.7
17,512 kB,10240 kB,62ms,20.2%,1738.4
18,512 kB,11264 kB,61ms,4.5%,1730.7
19,512 kB,12288 kB,62ms,4.5%,1721.2
20,512 kB,13312 kB,63ms,4.6%,1689.9
21,512 kB,14336 kB,63ms,4.4%,1711.7
22,512 kB,15360 kB,62ms,4.0%,1728.8
23,512 kB,16896 kB,62ms,4.5%,1733.2
24,512 kB,18432 kB,62ms,7.7%,1731.8
25,512 kB,19968 kB,61ms,2.9%,1737.9
26,512 kB,21504 kB,62ms,5.4%,1736.7
27,512 kB,23552 kB,63ms,5.4%,1692.5
28,512 kB,25600 kB,62ms,10.3%,1717.5
29,512 kB,28160 kB,62ms,6.6%,1728.1
30,512 kB,30720 kB,63ms,3.9%,1688.6
31,512 kB,33792 kB,63ms,4.6%,1705.1
32,512 kB,36864 kB,64ms,5.0%,1699.4
33,512 kB,40448 kB,170ms,1.9%,624.0
34,512 kB,44032 kB,219ms,4.9%,488.7
35,512 kB,48128 kB,224ms,3.1%,472.1
36,512 kB,52736 kB,225ms,3.9%,471.0
37,512 kB,57856 kB,226ms,4.4%,473.8
38,512 kB,63488 kB,223ms,1.6%,472.6
39,512 kB,69632 kB,226ms,6.5%,471.7
40,512 kB,76288 kB,226ms,3.4%,471.6
41,512 kB,83456 kB,223ms,1.5%,474.3
42,512 kB,91648 kB,227ms,7.4%,472.2
43,512 kB,100352 kB,225ms,3.3%,471.2
44,512 kB,110080 kB,228ms,5.9%,470.5
45,512 kB,120832 kB,228ms,6.2%,470.9
46,512 kB,132608 kB,224ms,2.4%,473.9
47,512 kB,145408 kB,224ms,1.8%,471.1
48,512 kB,159744 kB,224ms,1.9%,471.8
49,512 kB,175616 kB,224ms,3.0%,473.2
50,512 kB,193024 kB,229ms,6.8%,471.9
51,512 kB,211968 kB,226ms,3.9%,471.1
52,512 kB,232960 kB,225ms,5.0%,473.4
53,512 kB,256000 kB,227ms,3.4%,472.2
54,512 kB,281600 kB,225ms,3.3%,469.9
55,512 kB,309760 kB,225ms,2.7%,473.0
56,512 kB,340480 kB,225ms,3.8%,472.0
57,512 kB,374272 kB,227ms,2.9%,470.4
58,512 kB,411648 kB,227ms,2.7%,467.9
59,512 kB,452608 kB,227ms,2.5%,468.2
60,512 kB,497664 kB,226ms,2.7%,468.2
61,512 kB,547328 kB,225ms,2.9%,469.0
62,512 kB,601600 kB,227ms,2.3%,467.0
63,512 kB,661504 kB,228ms,3.6%,470.0
64,512 kB,727552 kB,228ms,3.4%,470.7
65,512 kB,800256 kB,227ms,2.9%,469.4
66,512 kB,880128 kB,225ms,3.5%,471.9
67,512 kB,967680 kB,226ms,2.6%,469.9
68,512 kB,1064448 kB,226ms,1.7%,467.7
69,512 kB,1170432 kB,227ms,1.7%,465.5
70,512 kB,1287168 kB,228ms,3.2%,472.0
71,512 kB,1415680 kB,226ms,5.5%,470.3
72,512 kB,1556992 kB,225ms,2.4%,470.3
73,512 kB,1712640 kB,224ms,2.8%,470.6
74,512 kB,1883648 kB,226ms,3.6%,470.3
75,512 kB,2071552 kB,224ms,6.0%,470.2
76,512 kB,2278400 kB,229ms,5.3%,469.7
77,512 kB,2506240 kB,228ms,4.2%,472.5
78,512 kB,2756608 kB,222ms,3.3%,475.1
79,512 kB,3032064 kB,224ms,3.2%,474.1
80,512 kB,3335168 kB,223ms,5.7%,477.0
81,512 kB,3668480 kB,223ms,4.5%,477.1
82,512 kB,4035072 kB,222ms,3.8%,475.7
83,512 kB,4438528 kB,223ms,2.1%,476.3
84,512 kB,4881920 kB,222ms,2.8%,475.5
