index,size_mb,bandwidth_gbps
0,0.06,17.68
1,0.12,38.39
2,0.25,71.55
3,0.5,125.46
4,1.0,238.89
5,2.0,374.16
6,4.0,549.87
7,8.0,722.84
8,16.0,842.41
9,32.0,207.5
10,64.0,208.19
11,128.0,212.6
12,256.0,211.33
13,512.0,209.38
14,1024.0,208.43
