index,data_set,exec_time,spread,eff_bw
0,1 kB,50ms,8.4%,7473.2
1,2 kB,46ms,12.5%,8358.9
2,4 kB,46ms,10.4%,8268.2
4,4 kB,45ms,4.4%,8369.4
3,6 kB,46ms,18.3%,8305.2
5,8 kB,45ms,3.0%,8396.4
6,12 kB,45ms,3.5%,8344.8
7,16 kB,45ms,5.0%,8331.4
8,20 kB,45ms,3.8%,8383.4
9,24 kB,45ms,6.3%,8380.2
10,28 kB,45ms,5.7%,8375.5
11,32 kB,46ms,11.2%,8307.4
12,36 kB,45ms,10.7%,8328.4
13,40 kB,45ms,5.5%,8381.0
14,44 kB,45ms,4.9%,8267.7
15,48 kB,45ms,9.3%,8341.7
16,52 kB,45ms,5.1%,8353.8
17,56 kB,47ms,16.2%,8222.5
18,60 kB,45ms,8.7%,8406.9
19,64 kB,44ms,4.0%,8381.1
