index,size_mb,bandwidth_gbps
0,0.06,18.61
1,0.12,34.96
2,0.25,68.04
3,0.5,122.44
4,1.0,238.89
5,2.0,361.96
6,4.0,547.09
7,8.0,690.15
8,16.0,830.59
9,32.0,207.82
10,64.0,209.8
11,128.0,210.2
12,256.0,211.93
13,512.0,210.08
14,1024.0,208.56
