iteration,throughput
1,255.4380363200958
2,2463.90760346487
3,2677.824267782427
4,2440.419447092469
5,2935.7798165137615
6,2463.90760346487
7,2348.623853211009
8,2208.8006902502157
9,2052.927024859663
10,1839.080459770115

