iteration,ppl
1,145454.70335839276
2,137403.89414013096
3,126979.38126295798
4,117386.83005819983
5,105785.63350410532
6,98078.16090248532
7,94313.5359803837
8,97334.6188638112
9,112226.00288634497
10,82740.12907322633

